[Log] 151 (analysis, line 61)
[Log] 153 (analysis, line 61)
[Log] 139 (analysis, line 61)
[Log] 120 (analysis, line 61)
[Log] 128 (analysis, line 61)
[Log] 137 (analysis, line 61)
[Log] 120 (analysis, line 61)
[Log] 96 (analysis, line 61)
[Log] 68 (analysis, line 61)
[Log] 111 (analysis, line 61)
[Log] 105 (analysis, line 61)
[Log] 96 (analysis, line 61)
[Log] 82 (analysis, line 61)
[Log] 88 (analysis, line 61)
[Log] 112 (analysis, line 61)
[Log] 88 (analysis, line 61)
[Log] 84 (analysis, line 61)
[Log] 88 (analysis, line 61)
[Log] 132 (analysis, line 61)
[Log] 103 (analysis, line 61)
[Log] 104 (analysis, line 61)
[Log] 128 (analysis, line 61)
[Log] 112 (analysis, line 61)
[Log] 76 (analysis, line 61)
[Log] 112 (analysis, line 61)
[Log] 88 (analysis, line 61)
[Log] 96 (analysis, line 61)
[Log] 80 (analysis, line 61)
[Log] 128 (analysis, line 61)
[Log] 116 (analysis, line 61)
[Log] 92 (analysis, line 61)
[Log] 88 (analysis, line 61)
[Log] 140 (analysis, line 61)
[Log] 113 (analysis, line 61)
[Log] 140 (analysis, line 61)
[Log] 72 (analysis, line 61)
[Log] 132 (analysis, line 61)
[Log] 116 (analysis, line 61)
[Log] 112 (analysis, line 61)
[Log] 116 (analysis, line 61)
[Log] 124 (analysis, line 61)
[Log] 96 (analysis, line 61)
[Log] 64 (analysis, line 61)
[Log] 92 (analysis, line 61)
[Log] 140 (analysis, line 61)
[Log] 89 (analysis, line 61)
[Log] 92 (analysis, line 61)
[Log] 88 (analysis, line 61)
[Log] 100 (analysis, line 61)
[Log] 192 (analysis, line 61)
[Log] 44 (analysis, line 61)
[Log] 116 (analysis, line 61)
[Log] 64 (analysis, line 61)
[Log] 84 (analysis, line 61)
[Log] 92 (analysis, line 61)
[Log] 88 (analysis, line 61)
[Log] 76 (analysis, line 61, x2)
[Log] 104 (analysis, line 61)
[Log] 80 (analysis, line 61)
[Log] 104 (analysis, line 61)
[Log] 112 (analysis, line 61)
[Log] 128 (analysis, line 61)
[Log] 96 (analysis, line 61)
[Log] 100 (analysis, line 61)
[Log] 71 (analysis, line 61)
[Log] 76 (analysis, line 61)
[Log] 81 (analysis, line 61)
[Log] 144 (analysis, line 61)
[Log] 139 (analysis, line 61)
[Log] 108 (analysis, line 61)
[Log] 72 (analysis, line 61)
[Log] 136 (analysis, line 61)
[Log] 88 (analysis, line 61)
[Log] 80 (analysis, line 61)
[Log] 106 (analysis, line 61)
[Log] 144 (analysis, line 61)
[Log] 100 (analysis, line 61)
[Log] 116 (analysis, line 61)
[Log] 160 (analysis, line 61)
[Log] 92 (analysis, line 61)
[Log] 84 (analysis, line 61)
[Log] 100 (analysis, line 61)
[Log] 168 (analysis, line 61)
[Log] 139 (analysis, line 61)
[Log] 92 (analysis, line 61)
[Log] 80 (analysis, line 61)
