[Log] 58 (analysis, line 58)
[Log] 79 (analysis, line 58)
[Log] 83 (analysis, line 58)
[Log] 67 (analysis, line 58)
[Log] 119 (analysis, line 58)
[Log] 99 (analysis, line 58)
[Log] 108 (analysis, line 58)
[Log] 96 (analysis, line 58)
[Log] 103 (analysis, line 58)
[Log] 67 (analysis, line 58)
[Log] 87 (analysis, line 58)
[Log] 99 (analysis, line 58)
[Log] 128 (analysis, line 58)
[Log] 147 (analysis, line 58)
[Log] 84 (analysis, line 58)
[Log] 162 (analysis, line 58)
[Log] 56 (analysis, line 58)
[Log] 68 (analysis, line 58)
[Log] 76 (analysis, line 58)
[Log] 72 (analysis, line 58)
[Log] 88 (analysis, line 58)
[Log] 112 (analysis, line 58)
[Log] 128 (analysis, line 58)
[Log] 100 (analysis, line 58)
[Log] 136 (analysis, line 58)
[Log] 96 (analysis, line 58)
[Log] 116 (analysis, line 58)
[Log] 68 (analysis, line 58)
[Log] 60 (analysis, line 58)
[Log] 76 (analysis, line 58)
[Log] 104 (analysis, line 58)
[Log] 96 (analysis, line 58)
[Log] 95 (analysis, line 58)
[Log] 80 (analysis, line 58)
[Log] 88 (analysis, line 58)
[Log] 132 (analysis, line 58)
[Log] 63 (analysis, line 58)
[Log] 64 (analysis, line 58)
[Log] 56 (analysis, line 58)
[Log] 96 (analysis, line 58)
[Log] 84 (analysis, line 58)
[Log] 132 (analysis, line 58)
[Log] 100 (analysis, line 58)
[Log] 72 (analysis, line 58)
[Log] 4461 (analysis, line 58)
[Log] 72 (analysis, line 58)
[Log] 68 (analysis, line 58)
[Log] 88 (analysis, line 58)
[Log] 72 (analysis, line 58)
[Log] 66 (analysis, line 58)
[Log] 61 (analysis, line 58)
[Log] 92 (analysis, line 58)
[Log] 80 (analysis, line 58)
[Log] 124 (analysis, line 58)
[Log] 92 (analysis, line 58)
[Log] 108 (analysis, line 58)
[Log] 336 (analysis, line 58)
[Log] 124 (analysis, line 58)
[Log] 92 (analysis, line 58)
[Log] 100 (analysis, line 58)
[Log] 141 (analysis, line 58)
[Log] 77 (analysis, line 58)
[Log] 100 (analysis, line 58)
[Log] 125 (analysis, line 58)
[Log] 68 (analysis, line 58)
[Log] 128 (analysis, line 58)
[Log] 124 (analysis, line 58)
[Log] 95 (analysis, line 58)
[Log] 126 (analysis, line 58)
[Log] 112 (analysis, line 58)
[Log] 104 (analysis, line 58)
[Log] 148 (analysis, line 58)
[Log] 152 (analysis, line 58)
[Log] 80 (analysis, line 58)
[Log] 112 (analysis, line 58)
[Log] 92 (analysis, line 58)
[Log] 95 (analysis, line 58)
[Log] 128 (analysis, line 58)
[Log] 64 (analysis, line 58)
[Log] 84 (analysis, line 58)
[Log] 108 (analysis, line 58)
[Log] 136 (analysis, line 58)
[Log] 120 (analysis, line 58)
[Log] 32 (analysis, line 58)
[Log] 84 (analysis, line 58)
[Log] 92 (analysis, line 58)
[Log] 108 (analysis, line 58)
[Log] 60 (analysis, line 58)
[Log] 100 (analysis, line 58)
[Log] 92 (analysis, line 58)
[Log] 104 (analysis, line 58)
[Log] 96 (analysis, line 58)
[Log] 112 (analysis, line 58)
[Log] 100 (analysis, line 58)
[Log] 84 (analysis, line 58)
[Log] 104 (analysis, line 58)
[Log] 96 (analysis, line 58)
[Log] 124 (analysis, line 58)
[Log] 132 (analysis, line 58)
[Log] 112 (analysis, line 58)
[Log] 133 (analysis, line 58)
[Log] 135 (analysis, line 58)
[Log] 108 (analysis, line 58)
[Log] 128 (analysis, line 58)
[Log] 100 (analysis, line 58)
[Log] 200 (analysis, line 58)
[Log] 128 (analysis, line 58)
[Log] 88 (analysis, line 58)
[Log] 60 (analysis, line 58)
[Log] 142 (analysis, line 58)
[Log] 108 (analysis, line 58)
[Log] 92 (analysis, line 58)
[Log] 75 (analysis, line 58)
[Log] 143 (analysis, line 58)
[Log] 132 (analysis, line 58)
[Log] 91 (analysis, line 58)
[Log] 83 (analysis, line 58)
[Log] 107 (analysis, line 58)
[Log] 110 (analysis, line 58)
[Log] 107 (analysis, line 58)
[Log] 175 (analysis, line 58)
[Log] 135 (analysis, line 58)
[Log] 95 (analysis, line 58)
[Log] 79 (analysis, line 58)
[Log] 100 (analysis, line 58)
[Log] 155 (analysis, line 58)
[Log] 131 (analysis, line 58)
[Log] 123 (analysis, line 58)
[Log] 163 (analysis, line 58)
[Log] 101 (analysis, line 58)
[Log] 123 (analysis, line 58)
[Log] 111 (analysis, line 58)
